title,channel,video_url,views,likes,comments,publishedAt,duration
Joyca fait de la lutte,SQUEEZIE,https://www.youtube.com/watch?v=GRTRoMkFyG4,542213,36839,50,2024-01-14T18:00:09Z,PT36S
Mon entrée est légendaire,SQUEEZIE,https://www.youtube.com/watch?v=XgajF3vwJ94,146489,13189,46,2024-01-11T18:00:24Z,PT23S
QUI EST LE MEURTRIER ? #2 (Murder IRL),SQUEEZIE,https://www.youtube.com/watch?v=7_60w7T1Oak,9891425,485892,7532,2024-01-10T17:06:30Z,PT52M58S
Qui a mis la pièce dans le cadis ?,SQUEEZIE,https://www.youtube.com/watch?v=wDQxJgJ8Nmg,400786,27980,17,2024-01-09T18:00:34Z,PT54S
J'ai tellement honte...,SQUEEZIE,https://www.youtube.com/watch?v=S-OShPTdfds,230040,20737,27,2024-01-07T18:00:11Z,PT34S
Je me fais intimider,SQUEEZIE,https://www.youtube.com/watch?v=k_OdGeu2KFs,735835,38878,76,2024-01-05T18:00:22Z,PT48S
Théodort tombe amoureux d'une comédienne,SQUEEZIE,https://www.youtube.com/watch?v=tn3il6_4Lf4,1048087,64699,62,2024-01-04T18:00:22Z,PT55S
Je suis fan des Jones,SQUEEZIE,https://www.youtube.com/watch?v=J16A3RwJvvw,153184,11584,19,2024-01-03T18:00:10Z,PT56S
J'ai pris une bonne décision !,SQUEEZIE,https://www.youtube.com/watch?v=O_15VtBah5o,854315,30153,77,2024-01-02T18:00:14Z,PT15S
"Mister V, le catcheur Squeezos",SQUEEZIE,https://www.youtube.com/watch?v=D_yfZ4cJci8,916400,57513,51,2023-12-30T18:00:07Z,PT59S
Les foufous de Sochaux,SQUEEZIE,https://www.youtube.com/watch?v=U-8qZ5e_pg0,1471612,122556,148,2023-12-28T18:00:13Z,PT1M
Maxime a leak toutes mes infos,SQUEEZIE,https://www.youtube.com/watch?v=6QYw9bDQHRc,3669512,241294,288,2023-12-26T18:00:02Z,PT1M
Seb se fait enterrer vivant,SQUEEZIE,https://www.youtube.com/watch?v=6IEI0-P7Ccg,92128,5823,22,2023-12-25T18:00:05Z,PT56S
"LE PIRE DATE #2 (ft Seb, Joyca & Maghla)",SQUEEZIE,https://www.youtube.com/watch?v=diQy-K12utA,15126911,573421,8584,2023-12-22T19:00:42Z,PT52M45S
Freddy réveille le bébé,SQUEEZIE,https://www.youtube.com/watch?v=UphhQH5QWVc,125176,7611,16,2023-12-22T18:00:14Z,PT55S
Bigflo se trouve moche ?,SQUEEZIE,https://www.youtube.com/watch?v=oqeMTmLvQqo,519983,38517,52,2023-12-21T18:00:31Z,PT40S
Bienvenue au PP Explorer,SQUEEZIE,https://www.youtube.com/watch?v=F0NVyzkB1Nc,351931,22790,32,2023-12-19T18:00:08Z,PT1M
Connaissez-vous Seb le 3afrit ?,SQUEEZIE,https://www.youtube.com/watch?v=xLUzCCqEHFY,2278584,159378,205,2023-12-18T18:00:34Z,PT51S
La série documentaire arrive le 19 Janvier sur Prime Video,SQUEEZIE,https://www.youtube.com/watch?v=BXcGRYTcwoI,826633,81328,301,2023-12-17T12:07:03Z,PT31S
Les célébrités de Wish,SQUEEZIE,https://www.youtube.com/watch?v=WYXq0HBf_D4,3504608,185100,133,2023-12-15T18:00:15Z,PT52S
Ils ont mis toutes mes affaires aux enchères,SQUEEZIE,https://www.youtube.com/watch?v=nWfFICJeWxc,433909,27908,40,2023-12-14T18:00:32Z,PT55S
J'ai mis la mère de Billy dans un canon,SQUEEZIE,https://www.youtube.com/watch?v=wG7DzwGG4PU,87976,7857,22,2023-12-12T18:00:33Z,PT59S
On a eu mal pour lui,SQUEEZIE,https://www.youtube.com/watch?v=9DdmxE77i5k,677002,45895,149,2023-12-10T18:00:07Z,PT58S
Maxime s'est fait draguer par la meuf de son pote,SQUEEZIE,https://www.youtube.com/watch?v=6wbwd_-dIOQ,1849211,91733,145,2023-12-10T11:00:05Z,PT48S
Maxime s'endort pendant mon anecdote,SQUEEZIE,https://www.youtube.com/watch?v=97Dz5KAtd88,495561,23240,27,2023-12-09T18:00:04Z,PT47S
48h pour assembler et faire décoller un Lego Concorde (ft Djilsi & Maxime Biaggi),SQUEEZIE,https://www.youtube.com/watch?v=YiVGa-svZco,8152833,363890,4520,2023-12-08T17:32:35Z,PT1H19M49S
Le complice de Squeezie casse Naza en deux,SQUEEZIE,https://www.youtube.com/watch?v=L6FuFcnYndo,4347528,261544,281,2023-12-07T18:00:10Z,PT51S
L'ultime trahison d'Eric et Ramzy,SQUEEZIE,https://www.youtube.com/watch?v=SnPfHzF_8jk,1495649,103207,120,2023-12-05T18:00:12Z,PT39S
